code,term
232022001,Proliferative retinopathy with neovascularization elsewhere than the optic disc due to diabetes mellitus
232023006,Traction detachment of retina due to diabetes mellitus
236499007,Microalbuminuric nephropathy due to diabetes mellitus
236500003,Proteinuric nephropathy due to diabetes mellitus
237620003,Abnormal metabolic state due to diabetes mellitus
237621004,Severe hyperglycemia due to diabetes mellitus
237622006,Poor glycemic control
237632004,Hypoglycemic event due to diabetes
237633009,Hypoglycemia due to diabetes mellitus
237635002,Nocturnal hypoglycemia due to diabetes mellitus
237650006,Insulin resistance in diabetes
238981002,Disorder of soft tissue due to diabetes mellitus
238982009,Dermopathy due to diabetes mellitus
238983004,Thick skin syndrome due to diabetes mellitus
238984005,Rubeosis faciei due to diabetes mellitus
25093002,Disorder of eye due to diabetes mellitus
25412000,Microaneurysm of retinal artery due to diabetes mellitus
25907005,Diabetic gangrene
26298008,Ketoacidotic coma due to diabetes mellitus
267467004,Diabetes mellitus (& [ketoacidosis])
267471001,Diabetes + eye manifestation (& [cataract] or [retinopathy])
267604001,Myasthenic syndrome due to diabetes mellitus
268519009,Diabetic - poor control
280137006,Diabetic foot
308105005,On examination-Right diabetic foot at risk
308106006,On examination-Left diabetic foot at risk
309426007,Glomerulopathy due to diabetes mellitus
310387003,Intracapillary glomerulosclerosis of kidney due to diabetes mellitus
310505005,Hyperosmolar non-ketotic state due to diabetes mellitus
311366001,Kimmelstiel-Wilson syndrome
311782002,Advanced retinal disease due to diabetes mellitus
312903003,Mild nonproliferative retinopathy due to diabetes mellitus
312904009,Moderate nonproliferative retinopathy due to diabetes mellitus
312905005,Severe nonproliferative retinopathy due to diabetes mellitus
312906006,Non-high-risk proliferative retinopathy due to diabetes mellitus
312907002,High risk proliferative retinopathy due to diabetes mellitus
312908007,Quiescent proliferative retinopathy due to diabetes mellitus
312909004,Proliferative retinopathy with iris neovascularization due to diabetes mellitus
312910009,Vitreous hemorrhage due to diabetes mellitus
312912001,Macular edema due to diabetes mellitus
314010006,Diffuse exudative maculopathy due to diabetes mellitus
314011005,Focal exudative maculopathy due to diabetes mellitus
314014002,Ischemic maculopathy due to diabetes mellitus
314015001,Mixed maculopathy due to diabetes mellitus
314537004,Optic papillopathy due to diabetes mellitus
315051004,Diabetes resolved
35777006,Mononeuropathy multiplex due to diabetes mellitus
359611005,Neuropathy with neurologic complication due to diabetes mellitus
361216007,Femoral mononeuropathy due to diabetes mellitus
371087003,Ulcer of foot due to diabetes mellitus
38046004,Diffuse glomerulosclerosis of kidney due to diabetes mellitus
38205001,Diarrhea due to diabetes mellitus
385041000000108,Diabetes mellitus with multiple complications
385051000000106,Pre-existing diabetes mellitus
39058009,Lumbosacral radiculoplexus neuropathy due to diabetes mellitus
390834004,Nonproliferative retinopathy due to diabetes mellitus
390850007,On examination - no right diabetic retinopathy
390853009,On examination - no left diabetic retinopathy
390854003,On examination - diabetic maculopathy present both eyes
390855002,On examination - diabetic maculopathy absent both eyes
39127005,Symmetric proximal motor neuropathy due to diabetes mellitus
39181008,Radiculoplexus neuropathy due to diabetes mellitus
398140007,Post hypoglycemic hyperglycemia due to diabetes mellitus
399862001,High risk proliferative retinopathy without macular edema due to diabetes mellitus
399863006,Very severe nonproliferative retinopathy without macular edema due to diabetes mellitus
399864000,Macular edema not clinically significant due to diabetes mellitus
399865004,Very severe proliferative retinopathy due to diabetes mellitus
399866003,Venous beading of retina due to diabetes mellitus
399868002,Intraretinal microvascular anomaly due to diabetes mellitus
399869005,High risk proliferative retinopathy not amenable to photocoagulation due to diabetes mellitus
399870006,Non-high-risk proliferative retinopathy with no macular edema due to diabetes mellitus
399871005,Visually threatening retinopathy due to diabetes mellitus
399872003,Severe nonproliferative retinopathy with clinically significant macular edema due to diabetes mellitus
399873008,Severe nonproliferative retinopathy without macular edema due to diabetes mellitus
399874002,High risk proliferative retinopathy with clinically significant macula edema due to diabetes mellitus
399875001,Non-high-risk proliferative retinopathy with clinically significant macular edema due to diabetes mellitus
399876000,Very severe nonproliferative retinopathy due to diabetes mellitus
399877009,Very severe nonproliferative retinopathy with clinically significant macular edema due to diabetes mellitus
402864004,Wet gangrene of foot due to diabetes mellitus
407569005,Patient on maximal tolerated therapy for diabetes
408409007,On examination - right eye background diabetic retinopathy
408410002,On examination - left eye background diabetic retinopathy
408411003,On examination - right eye preproliferative diabetic retinopathy
408412005,On examination - left eye preproliferative diabetic retinopathy
408413000,On examination - right eye proliferative diabetic retinopathy
408414006,On examination - left eye proliferative diabetic retinopathy
408415007,On examination - right eye diabetic maculopathy
408416008,On examination - left eye diabetic maculopathy
414894003,On examination - left eye stable treated proliferative diabetic retinopathy
414910007,On examination - right eye stable treated proliferative diabetic retinopathy
417677008,On examination - sight threatening diabetic retinopathy
419100001,Infection of foot due to diabetes mellitus
420422005,Ketoacidosis due to diabetes mellitus
420662003,Coma due to diabetes mellitus
421725003,Hypoglycemic coma due to diabetes mellitus
421895002,Peripheral vascular disorder due to diabetes mellitus
421966007,Non-ketotic non-hyperosmolar coma due to diabetes mellitus
422088007,Disorder of nervous system due to diabetes mellitus
422126006,Hyperosmolar coma due to diabetes mellitus
422183001,Skin ulcer due to diabetes mellitus
422275004,Gangrene due to diabetes mellitus
424736006,Peripheral neuropathy due to diabetes mellitus
425455002,Glomerulonephritis due to diabetes mellitus
426875007,Latent autoimmune diabetes mellitus in adult
427943001,Ophthalmoplegia due to diabetes mellitus
43959009,Cataract of eye due to diabetes mellitus
441628001,Multiple complications due to diabetes mellitus
441656006,Hyperglycemic crisis due to diabetes mellitus
445170001,Macroalbuminuric nephropathy due to diabetes mellitus
4855003,Retinopathy due to diabetes mellitus
48951005,Bullous disease due to diabetes mellitus
49455004,Polyneuropathy due to diabetes mellitus
50620007,Autonomic neuropathy due to diabetes mellitus
530558861000132104,Atypical diabetes mellitus
54181000,Diabetes-nephrosis syndrome
59276001,Proliferative retinopathy due to diabetes mellitus
609563008,Pre-existing diabetes mellitus in pregnancy
62260007,Pretibial pigmental patches due to diabetes mellitus
63510008,Nodular glomerulosclerosis of kidney due to diabetes mellitus
658011000000104,Diabetes mellitus with other specified manifestation
703136005,Diabetes mellitus in remission
707221002,Glomerulosclerosis of kidney due to diabetes mellitus
709147009,Gingivitis co-occurrent with diabetes mellitus
713457002,Neovascular glaucoma due to diabetes mellitus
713704004,Gastroparesis due to diabetes mellitus
716362006,Gingival disease co-occurrent with diabetes mellitus
723074006,Renal papillary necrosis due to diabetes mellitus
724136006,Mastopathy due to diabetes mellitus
724810001,Radiculoplexoneuropathy due to diabetes mellitus
724876003,Lesion of skin due to diabetes mellitus
724997001,Lumbosacral plexopathy co-occurrent and due to diabetes mellitus
73211009,Diabetes mellitus
735199000,History of diabetes related lower limb amputation
735200002,Absence of lower limb due to diabetes mellitus
735537007,Hyperosmolar hyperglycemic coma due to diabetes mellitus without ketoacidosis
735538002,Lactic acidosis due to diabetes mellitus
735539005,Metabolic acidosis due to diabetes mellitus
74627003,Complication due to diabetes mellitus
762489000,Acute complication due to diabetes mellitus
768792007,Cataract of right eye due to diabetes mellitus
768793002,Cataract of left eye due to diabetes mellitus
768794008,Cataract of bilateral eyes due to diabetes mellitus
768797001,Iritis of right eye due to diabetes mellitus
768798006,Iritis of left eye due to diabetes mellitus
768799003,Iritis of bilateral eyes due to diabetes mellitus
769181007,Preproliferative retinopathy of right eye due to diabetes mellitus
769182000,Preproliferative retinopathy of left eye due to diabetes mellitus
769183005,Mild nonproliferative retinopathy of right eye due to diabetes mellitus
769184004,Mild nonproliferative retinopathy of left eye due to diabetes mellitus
769185003,Moderate nonproliferative retinopathy of right eye due to diabetes mellitus
769186002,Moderate nonproliferative retinopathy of left eye due to diabetes mellitus
769187006,Severe nonproliferative retinopathy of right eye due to diabetes mellitus
769188001,Severe nonproliferative retinopathy of left eye due to diabetes mellitus
769190000,Very severe nonproliferative retinopathy of right eye due to diabetes mellitus
769191001,Very severe nonproliferative retinopathy of left eye due to diabetes mellitus
769217008,Macular edema of right eye due to diabetes mellitus
769218003,Macular edema of left eye due to diabetes mellitus
769221001,Clinically significant macular edema of right eye due to diabetes mellitus
769222008,Clinically significant macular edema of left eye due to diabetes mellitus
769244003,Disorder of right macula due to diabetes mellitus
769245002,Disorder of left macula due to diabetes mellitus
770094004,Cervical radiculoplexus neuropathy due to diabetes mellitus
770095003,Cranial nerve palsy due to diabetes mellitus
770096002,Erectile dysfunction due to diabetes mellitus
770097006,Clinically significant macular edema due to diabetes mellitus
770323005,Retinal edema due to diabetes mellitus
770324004,Ischemia of retina due to diabetes mellitus
770361008,Vitreous hemorrhage of right eye due to diabetes mellitus
770362001,Vitreous hemorrhage of left eye due to diabetes mellitus
770581008,Microaneurysm of right retinal artery due to diabetes mellitus
770582001,Microaneurysm of left retinal artery due to diabetes mellitus
770599000,Venous beading of right retina due to diabetes mellitus
770600002,Venous beading of left retina due to diabetes mellitus
770765001,Proliferative retinopathy of right eye due to diabetes mellitus
770766000,Proliferative retinopathy of left eye due to diabetes mellitus
773001000000103,Symptomatic diabetic peripheral neuropathy
775841000000109,Diabetic retinopathy detected by national screening programme
783722008,Myopathy and diabetes mellitus
788878000,Cardiomyopathy due to diabetes mellitus
789562001,Ulcer of heel due to diabetes mellitus
789568002,Ulcer of midfoot due to diabetes mellitus
789585000,Sensory polyneuropathy due to diabetes mellitus
792926007,Armanni-Ebstein kidney due to diabetes mellitus
79554005,Asymmetric proximal motor neuropathy due to diabetes mellitus
80660001,Mauriac's syndrome
816177009,Nonproliferative retinopathy of left eye due to diabetes mellitus
816178004,Nonproliferative retinopathy of right eye due to diabetes mellitus
816961009,Stable treated proliferative retinopathy of right eye due to diabetes mellitus
816962002,Stable treated proliferative retinopathy of left eye due to diabetes mellitus
81830002,Mononeuropathy simplex due to diabetes mellitus
822995009,Hyperglycemia due to diabetes mellitus
82980005,Anemia due to diabetes mellitus
860712005,Disorder of macula of bilateral eyes due to diabetes mellitus present
860721006,Disorder of macula of bilateral eyes due to diabetes mellitus
860798008,Glaucoma due to diabetes mellitus
860883001,Generalized autonomic neuropathy due to diabetes mellitus
860977000,Ulcer of right foot due to diabetes mellitus
860978005,Ulcer of left foot due to diabetes mellitus
860979002,Chronic ulcer of right foot due to diabetes mellitus
860980004,Chronic ulcer of left foot due to diabetes mellitus
863879002,At low risk of ulcer of right foot due to diabetes mellitus
863880004,At low risk of ulcer of left foot due to diabetes mellitus
863881000,At moderate risk of ulcer of left foot due to diabetes mellitus
863882007,At increased risk of ulcer of left foot due to diabetes mellitus
863883002,At increased risk of ulcer of right foot due to diabetes mellitus
863884008,At high risk of ulcer of right foot due to diabetes mellitus
863885009,At moderate risk of ulcer of right foot due to diabetes mellitus
863886005,At high risk of ulcer of left foot due to diabetes mellitus
870420005,Severe nonproliferative retinopathy with venous beading of retina due to diabetes mellitus
870421009,Cystoid macular edema due to diabetes mellitus
870529009,Persistent macular edema due to diabetes mellitus
871778008,Centrally involved macular edema due to diabetes mellitus
871781003,Non centrally involved macular edema due to diabetes mellitus
890171006,Ketosis-prone diabetes mellitus
894741000000107,Hypoglycaemic warning absent
